Time,Accel-X (g), Accel-Y (g), Accel-Z (g)
15:40:45,0.066895,-1.525391,-1.78418
15:40:45,2.025391,-2.128662,0.765625
15:40:45,4.311279,-4.530273,2.149414
15:40:45,3.976318,-4.164307,-0.378174
15:40:45,2.7771,-3.010742,-0.800293
15:40:45,1.818848,-1.216553,-0.205078
15:40:45,2.463379,-0.127197,0.458984
15:40:45,1.200195,0.669434,-0.960693
15:40:45,1.703613,2.208008,-1.1875
15:40:45,1.118164,2.141113,-0.714111
15:40:45,0.391846,1.102051,0.261719
15:40:45,0.365234,0.682617,0.705566
15:40:45,0.350586,0.532715,0.601807
15:40:45,0.303955,0.306885,0.540039
15:40:45,0.303467,0.071289,0.528564
15:40:45,0.331787,-0.149414,0.509766
15:40:45,0.418457,-0.318848,0.523438
15:40:45,0.522705,-0.419189,0.505615
15:40:45,0.799316,-0.553223,0.678711
15:40:45,1.292236,-0.654297,0.670898
15:40:45,1.593506,-0.529541,0.103271
15:40:45,1.585449,-0.312012,-0.049072
15:40:45,1.327148,-0.168213,0.272461
15:40:45,0.809082,-0.070557,0.358643
15:40:45,0.67041,0.030762,0.532715
15:40:45,0.605713,0.123535,0.506104
15:40:45,0.598877,0.222168,0.44751
15:40:45,0.694336,0.250244,0.447266
15:40:45,0.843018,0.191895,0.379395
15:40:45,0.909668,0.069824,0.299316
15:40:45,0.937256,-0.046143,0.452881
15:40:45,0.985352,-0.149902,0.375244
15:40:45,0.91333,-0.2146,0.449707
15:40:45,0.898193,-0.224854,0.409424
15:40:45,0.813477,-0.172119,0.430176
15:40:45,0.898193,-0.11499,0.468262
15:40:45,0.851318,-0.024658,0.308594
15:40:45,0.715576,0.028076,0.522461
15:40:45,0.714844,0.12085,0.513428
15:40:45,0.981689,0.045898,0.341064
15:40:45,0.968506,0.05542,0.233398
15:40:45,0.690186,0.09668,0.668213
15:40:45,0.520996,0.130371,0.872803
15:40:45,0.743652,0.067383,0.52124
15:40:45,0.940674,-0.075195,0.367432
15:40:45,1.018066,-0.158691,0.289307
15:40:45,0.969727,-0.037842,0.282715
15:40:45,0.455811,0.002686,0.952393
15:40:45,0.21582,-0.222656,1.802246
15:40:45,0.611572,-0.065674,1.469727
15:40:45,0.88501,0.169678,0.542725
15:40:45,1.085449,0.003906,0.982422
15:40:45,1.609375,-0.321533,1.226318
15:40:45,1.429199,-0.484619,1.369385
15:40:45,1.294189,-0.670654,0.919922
15:40:45,0.938477,-0.703369,-1.810303
15:40:45,7.999756,0.218994,1.586914
15:40:45,5.793701,0.866455,-1.380615
15:40:45,4.415527,4.161133,-0.766113
15:40:45,1.498779,2.496826,-0.305664
15:40:45,-0.008545,0.955322,0.43335
15:40:45,-0.042969,0.97583,0.688965
15:40:45,-0.16748,1.105957,0.36084
15:40:45,-0.418213,1.000977,0.036133
15:40:45,-0.587158,0.828857,0.318359
15:40:45,-0.820313,0.415527,0.820557
15:40:45,-0.759033,0.097656,0.655762
15:40:45,-0.22168,-0.072266,0.647217
15:40:45,0.240479,-0.196777,0.837402
15:40:45,0.432373,-0.274902,0.77124
15:40:45,0.495361,-0.324951,0.566162
15:40:45,0.405029,-0.415527,0.322998
15:40:45,1.511719,-0.19043,1.196533
15:40:45,2.803467,0.06543,1.143555
15:40:45,2.825684,0.052246,-1.401123
15:40:45,2.770508,0.295654,-1.775879
